Oka,,,,https://www.openstreetmap.org/search?query=oka%20nigeria#map=18/6.93505/3.63636,6 villages found
Okeho_Iganna,,,,,
Ondo,7.1,4.83333,,https://www.openstreetmap.org/node/501449517#map=18/7.10000/4.83333,
Ondo Western,,,,,
Oshunmaiyegun,,,,,
Otta,,,,https://www.openstreetmap.org/search?query=otta%20nigeria#map=14/6.7275/3.9956,3 villages found
Otun,,,,https://www.openstreetmap.org/search?query=otun#map=13/7.9867/5.1256,4 villages found
Owo,7.1962012,5.5868016,,https://www.openstreetmap.org/node/501464929#map=18/7.19620/5.58680,
Oyo Southern,,,,https://www.openstreetmap.org/node/27565036#map=18/7.84105/3.93154,
Shaki,7.9,4.766667,,https://www.openstreetmap.org/node/501406124#map=18/7.90075/4.76855,2 villages found
,,,,https://www.openstreetmap.org/node/501367941#map=18/9.35075/6.80188,
Warri,5.517,5.75,,https://www.openstreetmap.org/node/27565005#map=18/5.51700/5.75094,
